campaign_id,campaign_name,date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,cpc,ctr,inline_link_clicks,inline_link_click_ctr,purchases,purchase_value,checkouts_initiated,purchase_roas,cpa,cvr
6976513156630,ASC - Magic Portraits,2025-12-14,2025-12-14,870.96,23240,15995,1.452954,37.476764,967,0.900683,4.160929,835,3.592943,35.0,1410.41,,1.619374,24.88457142857143,0.041916167664670656
6985706012030,1 - Testing,2025-12-14,2025-12-14,32.64,777,621,1.251208,42.007722,25,1.3056,3.217503,18,2.316602,,,,,,
6972562335830,Magic - Test Sales Campaign,2025-12-15,2025-12-15,1926.77,67870,56993,1.190848,28.389126,2056,0.937145,3.029321,1620,2.386916,37.0,1085.36,,0.563305,52.074864864864864,0.022839506172839506
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-15,2025-12-15,173.3,4906,3889,1.261507,35.324093,171,1.01345,3.485528,151,3.077864,5.0,455.27,,2.627063,34.660000000000004,0.033112582781456956
6976513156630,ASC - Magic Portraits,2025-12-15,2025-12-15,950.97,25830,18005,1.434602,36.816492,940,1.01167,3.639179,795,3.077816,29.0,932.55,,0.98063,32.792068965517245,0.03647798742138365
6985706012030,1 - Testing,2025-12-15,2025-12-15,45.17,1072,932,1.150215,42.136194,29,1.557586,2.705224,28,2.61194,,,,,,
6972562335830,Magic - Test Sales Campaign,2025-12-16,2025-12-16,1756.24,72044,58965,1.22181,24.377325,1855,0.94676,2.574815,1471,2.041808,42.0,1434.95,,0.817058,41.815238095238094,0.028552005438477225
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-16,2025-12-16,161.68,4440,3496,1.270023,36.414414,203,0.796453,4.572072,177,3.986486,5.0,199.72,,1.23528,32.336,0.02824858757062147
6976513156630,ASC - Magic Portraits,2025-12-16,2025-12-16,975.72,29309,21468,1.365241,33.290798,973,1.002795,3.319799,785,2.678358,39.0,1448.14,,1.484176,25.01846153846154,0.049681528662420385
6985706012030,1 - Testing,2025-12-16,2025-12-16,25.41,577,441,1.30839,44.038128,28,0.9075,4.852686,25,4.332756,1.0,115.84,,4.558835,25.41,0.04
6972562335830,Magic - Test Sales Campaign,2025-12-17,2025-12-17,1712.3,72480,61978,1.169447,23.624448,1643,1.042179,2.266832,1317,1.817053,39.0,1071.28,,0.625638,43.90512820512821,0.029612756264236904
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-17,2025-12-17,156.88,4933,3887,1.269102,31.802149,197,0.796345,3.993513,158,3.202919,5.0,143.76,,0.916369,31.375999999999998,0.03164556962025317
6976513156630,ASC - Magic Portraits,2025-12-17,2025-12-17,1513.55,48813,36217,1.347792,31.007109,1445,1.047439,2.960277,1175,2.407146,41.0,1171.3,,0.773876,36.915853658536584,0.03489361702127659
6985706012030,1 - Testing,2025-12-17,2025-12-17,87.63,1898,1512,1.255291,46.169652,72,1.217083,3.793467,59,3.108535,3.0,71.92,,0.820724,29.209999999999997,0.05084745762711865
6972562335830,Magic - Test Sales Campaign,2025-12-18,2025-12-18,1420.7,50403,44432,1.134385,28.186814,1236,1.149434,2.452235,916,1.817352,27.0,1033.99,,0.727803,52.61851851851852,0.02947598253275109
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-18,2025-12-18,157.27,4149,3459,1.19948,37.905519,172,0.91436,4.145577,141,3.398409,4.0,95.84,,0.609398,39.3175,0.028368794326241134
6976513156630,ASC - Magic Portraits,2025-12-18,2025-12-18,1845.76,54599,41250,1.323612,33.805747,1503,1.228051,2.752798,1125,2.060477,32.0,1416.45,,0.767407,57.68,0.028444444444444446
6985706012030,1 - Testing,2025-12-18,2025-12-18,84.78,1829,1414,1.293494,46.353198,53,1.599623,2.897758,41,2.241662,,,,,,
6972562335830,Magic - Test Sales Campaign,2025-12-19,2025-12-19,1131.77,45307,40139,1.128753,24.980025,981,1.15369,2.165228,781,1.723795,16.0,469.22,,0.41459,70.735625,0.020486555697823303
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-19,2025-12-19,134.37,3902,3196,1.220901,34.436187,136,0.988015,3.485392,109,2.793439,4.0,157.77,,1.174146,33.5925,0.03669724770642202
6976513156630,ASC - Magic Portraits,2025-12-19,2025-12-19,1547.46,54277,40547,1.338619,28.510419,1222,1.266334,2.251414,976,1.798183,29.0,1167.63,,0.754546,53.360689655172415,0.02971311475409836
6985706012030,1 - Testing,2025-12-19,2025-12-19,80.14,2022,1526,1.325033,39.634026,47,1.705106,2.324431,39,1.928783,,,,,,
6972562335830,Magic - Test Sales Campaign,2025-12-20,2025-12-20,621.66,23311,19651,1.18625,26.668097,734,0.846948,3.148728,598,2.565313,19.0,603.3,,0.970466,32.71894736842105,0.03177257525083612
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-20,2025-12-20,99.83,3003,2498,1.202162,33.243423,149,0.67,4.961705,121,4.029304,5.0,113.85,,1.140439,19.966,0.04132231404958678
6976513156630,ASC - Magic Portraits,2025-12-20,2025-12-20,869.67,30348,22365,1.356942,28.656584,949,0.916407,3.127059,797,2.626203,28.0,1172.03,,1.347672,31.059642857142855,0.03513174404015056
