date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,ctr,inline_link_clicks,age,gender,purchases,purchase_value,checkouts_initiated,purchase_roas,cpc,inline_link_click_ctr,cpa,cvr
2025-11-27,2025-11-27,0.580145,24,22,1.090909,24.172708,1,4.166667,1,18-24,male,,,,,0.580145,4.166667,,
2025-11-27,2025-11-27,0.050013,1,1,1.0,50.0125,0,0.0,0,18-24,unknown,,,,,,,,
2025-11-27,2025-11-27,31.097772,1046,707,1.479491,29.730184,23,2.198853,17,25-34,female,,,,,1.352077,1.625239,,
2025-11-27,2025-11-27,4.471117,176,129,1.364341,25.404077,8,4.545455,9,25-34,male,,,,,0.55889,5.113636,,
2025-11-27,2025-11-27,0.4001,14,9,1.555556,28.578571,0,0.0,0,25-34,unknown,,,,,,,,
2025-11-27,2025-11-27,205.161277,6325,4022,1.572601,32.436566,181,2.86166,146,35-44,female,3.0,43.9,,0.213978,1.133488,2.3083,68.38709233333334,0.02054794520547945
2025-11-27,2025-11-27,25.72643,830,513,1.617934,30.995699,17,2.048193,16,35-44,male,2.0,31.92,,1.240747,1.513319,1.927711,12.863215,0.125
2025-11-27,2025-11-27,0.570143,43,25,1.72,13.259128,0,0.0,0,35-44,unknown,,,,,,,,
2025-11-27,2025-11-27,471.117749,13435,8866,1.51534,35.06645,459,3.41645,354,45-54,female,16.0,356.39,,0.756478,1.0264,2.634909,29.4448593125,0.04519774011299435
2025-11-27,2025-11-27,67.026752,1621,1079,1.502317,41.349014,54,3.331277,48,45-54,male,,,,,1.241236,2.961135,,
2025-11-27,2025-11-27,4.391097,87,55,1.581818,50.472385,4,4.597701,4,45-54,unknown,,,,,1.097774,4.597701,,
2025-11-27,2025-11-27,529.792414,13095,8881,1.474496,40.457611,559,4.268805,469,55-64,female,15.0,637.27,,1.202867,0.94775,3.58152,35.319494266666666,0.031982942430703626
2025-11-27,2025-11-27,64.126027,1614,1086,1.486188,39.73112,42,2.60223,38,55-64,male,,,,,1.52681,2.354399,,
2025-11-27,2025-11-27,2.780695,80,43,1.860465,34.758687,8,10.0,4,55-64,unknown,,,,,0.347587,5.0,,
2025-11-27,2025-11-27,237.41934,5799,3863,1.501165,40.941428,254,4.380066,218,65+,female,4.0,108.89,,0.45864,0.934722,3.759269,59.354835,0.01834862385321101
2025-11-27,2025-11-27,31.457862,755,525,1.438095,41.666043,22,2.913907,16,65+,male,,,,,1.429903,2.119205,,
2025-11-27,2025-11-27,0.750188,51,37,1.378378,14.709559,1,1.960784,1,65+,unknown,,,,,0.750188,1.960784,,
2025-11-27,2025-11-27,0.0,0,0,0.0,,0,,0,Unknown,unknown,,,,,,,,
2025-11-28,2025-11-28,4.230974,104,79,1.316456,40.682438,4,3.846154,4,18-24,female,,,,,1.057743,3.846154,,
2025-11-28,2025-11-28,1.140262,44,27,1.62963,25.915054,0,0.0,0,18-24,male,,,,,,,,
2025-11-28,2025-11-28,57.963338,1195,727,1.643741,48.504885,30,2.51046,19,25-34,female,2.0,243.45,,4.200069,1.932111,1.589958,28.981669,0.10526315789473684
2025-11-28,2025-11-28,8.671995,194,110,1.763636,44.701007,5,2.57732,4,25-34,male,,,,,1.734399,2.061856,,
2025-11-28,2025-11-28,0.120028,5,5,1.0,24.005524,0,0.0,0,25-34,unknown,,,,,,,,
2025-11-28,2025-11-28,338.157811,5996,3884,1.543769,56.397233,261,4.352902,215,35-44,female,10.0,248.43,,0.734657,1.295624,3.585724,33.815781099999995,0.046511627906976744
2025-11-28,2025-11-28,35.438154,737,445,1.65618,48.084334,19,2.578019,15,35-44,male,,,,,1.865166,2.035278,,
2025-11-28,2025-11-28,0.950219,17,13,1.307692,55.895215,0,0.0,0,35-44,unknown,,,,,,,,
2025-11-28,2025-11-28,782.049952,12605,8030,1.569738,62.042836,686,5.442285,566,45-54,female,24.0,1172.18,,1.498856,1.140015,4.490282,32.585414666666665,0.04240282685512368
2025-11-28,2025-11-28,82.538992,1391,870,1.598851,59.337881,52,3.738318,45,45-54,male,3.0,43.89,,0.531749,1.587288,3.235083,27.51299733333333,0.06666666666666667
2025-11-28,2025-11-28,3.460796,72,38,1.894737,48.066616,3,4.166667,3,45-54,unknown,,,,,1.153599,4.166667,,
